movieId,title,genres,budget,runtime,release_year,avg_critic_score,director_id,is_sequel
1,Movie 1,Action,17000000,88,2017,3.4,9,1
2,Movie 2,Documentary|Comedy,17000000,92,2022,8.4,124,0
3,Movie 3,Drama|Thriller,188000000,141,1996,5.2,42,0
4,Movie 4,Sci-Fi,73000000,148,2012,8.1,383,0
5,Movie 5,Adventure|Drama,176000000,177,1992,3.5,110,0
6,Movie 6,Documentary|Sci-Fi|Adventure,57000000,159,2004,3.5,288,0
7,Movie 7,Drama|Adventure|Fantasy,50000000,167,2001,5.7,16,0
8,Movie 8,Adventure|Children|Thriller,33000000,148,2011,8.4,113,0
9,Movie 9,Drama|Children,142000000,147,1993,3.9,147,1
10,Movie 10,Children|Animation,148000000,147,2002,9.0,230,1
11,Movie 11,Fantasy|Children|Thriller,119000000,94,1990,9.5,473,1
12,Movie 12,Animation,135000000,91,2014,2.9,499,0
13,Movie 13,Animation|Documentary,151000000,131,1996,7.5,405,0
14,Movie 14,Thriller,157000000,97,1993,4.1,299,0
15,Movie 15,Action|Comedy,13000000,95,1997,7.6,3,0
16,Movie 16,Thriller|Fantasy,150000000,88,1996,6.5,446,0
17,Movie 17,Adventure|Action,28000000,151,2011,5.1,340,0
18,Movie 18,Animation,81000000,158,2009,7.2,442,0
19,Movie 19,Children,84000000,156,2011,6.6,459,0
20,Movie 20,Animation,52000000,157,1991,6.3,268,0
21,Movie 21,Comedy|Children,185000000,164,2016,7.3,28,0
22,Movie 22,Action,184000000,104,2006,4.2,355,0
23,Movie 23,Children,123000000,92,1994,9.1,92,1
24,Movie 24,Crime|Action,116000000,143,1994,3.4,191,0
25,Movie 25,Fantasy|Children|Documentary,109000000,147,1996,7.5,110,0
26,Movie 26,Children,25000000,147,1999,8.2,192,0
27,Movie 27,Drama|Animation|Documentary,107000000,108,2015,6.0,108,0
28,Movie 28,Crime,177000000,143,2001,8.4,360,0
29,Movie 29,Crime|Children|Horror,54000000,144,2007,2.9,365,0
30,Movie 30,Sci-Fi,110000000,105,1997,2.9,235,0
31,Movie 31,Adventure|Comedy,92000000,142,2021,3.3,119,0
32,Movie 32,Thriller,94000000,164,2013,4.9,238,1
33,Movie 33,Comedy|Sci-Fi,91000000,95,2003,3.6,233,0
34,Movie 34,Horror,134000000,143,2019,6.3,172,0
35,Movie 35,Children,25000000,95,2016,8.0,374,0
36,Movie 36,Action|Animation,76000000,124,1996,3.8,132,0
37,Movie 37,Comedy|Adventure,155000000,138,2021,6.5,459,0
38,Movie 38,Fantasy,187000000,91,1997,6.4,33,0
39,Movie 39,Adventure|Children,46000000,106,1997,3.5,476,0
40,Movie 40,Horror,133000000,169,2023,8.1,368,1
41,Movie 41,Documentary|Adventure,84000000,145,1996,7.8,403,1
42,Movie 42,Children,129000000,159,2017,2.4,481,1
43,Movie 43,Children|Comedy,73000000,109,2001,2.7,216,0
44,Movie 44,Horror|Children,127000000,132,2016,7.4,463,0
45,Movie 45,Thriller|Animation,121000000,96,2018,2.4,219,0
46,Movie 46,Drama|Animation|Horror,36000000,122,2011,8.9,159,0
47,Movie 47,Animation,79000000,164,2013,9.6,313,0
48,Movie 48,Adventure,55000000,95,2007,7.9,425,0
49,Movie 49,Documentary,154000000,97,2010,3.1,164,0
50,Movie 50,Thriller|Sci-Fi,35000000,106,1993,10.0,40,0
51,Movie 51,Drama,129000000,162,2017,2.0,354,0
52,Movie 52,Comedy|Drama|Fantasy,88000000,158,2002,3.5,124,0
53,Movie 53,Sci-Fi|Children,191000000,139,2016,6.4,25,0
54,Movie 54,Drama|Action|Crime,41000000,126,2013,3.5,28,0
55,Movie 55,Thriller|Horror|Children,120000000,159,2008,5.1,75,0
56,Movie 56,Sci-Fi|Children,110000000,170,2010,4.1,218,0
57,Movie 57,Comedy|Horror|Sci-Fi,80000000,168,2022,3.8,134,1
58,Movie 58,Action,150000000,97,2001,6.3,3,1
59,Movie 59,Animation,107000000,84,2020,2.5,167,0
60,Movie 60,Sci-Fi|Crime,138000000,80,2016,8.6,212,0
61,Movie 61,Action|Fantasy,155000000,174,2000,2.7,148,1
62,Movie 62,Drama|Comedy,160000000,116,2006,8.3,43,1
63,Movie 63,Fantasy,182000000,112,1999,4.3,386,0
64,Movie 64,Action,180000000,165,2000,4.4,368,0
65,Movie 65,Sci-Fi,159000000,117,2009,9.8,63,1
66,Movie 66,Drama,80000000,85,1997,5.9,492,0
67,Movie 67,Children|Thriller|Horror,134000000,153,2000,3.2,449,0
68,Movie 68,Animation|Action,51000000,173,1996,2.9,382,0
69,Movie 69,Documentary,103000000,150,1993,9.9,106,1
70,Movie 70,Horror,100000000,100,2012,8.5,405,0
71,Movie 71,Comedy|Thriller|Documentary,108000000,130,2016,4.7,72,0
72,Movie 72,Crime|Adventure|Documentary,140000000,118,1998,8.1,11,0
73,Movie 73,Crime|Children,101000000,115,2021,9.5,114,0
74,Movie 74,Fantasy|Action,139000000,113,2003,4.8,131,0
75,Movie 75,Drama,97000000,80,2019,2.0,481,0
76,Movie 76,Sci-Fi|Comedy|Fantasy,173000000,107,2013,9.7,494,0
77,Movie 77,Adventure|Documentary,78000000,118,2001,4.5,5,0
78,Movie 78,Drama|Animation,190000000,102,1995,7.7,296,0
79,Movie 79,Animation,123000000,111,1994,5.4,364,0
80,Movie 80,Adventure|Children|Fantasy,100000000,154,2023,6.4,392,0
81,Movie 81,Thriller|Animation,36000000,153,2000,6.4,429,1
82,Movie 82,Horror|Children|Documentary,177000000,140,2012,5.3,71,0
83,Movie 83,Fantasy,6000000,143,1996,4.1,12,1
84,Movie 84,Sci-Fi,41000000,92,2013,4.7,106,0
85,Movie 85,Animation,145000000,96,2016,4.8,221,1
86,Movie 86,Documentary|Action,198000000,119,2023,4.9,376,0
87,Movie 87,Children|Documentary|Comedy,35000000,80,1998,9.0,70,1
88,Movie 88,Action,101000000,109,2016,4.7,109,0
89,Movie 89,Drama,22000000,135,2001,6.6,82,0
90,Movie 90,Children,142000000,132,1991,9.1,285,0
