movieId,title,genres,budget,runtime,release_year,is_sequel,avg_critic_score,director_id,production_cost,has_subtitles,genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Horror,genre_Sci-Fi,genre_Thriller
1,Movie 1 (2024),Adventure|Action,196000000,152,2012,0,7.1,307,2520000,1,1,1,0,0,0,0,0,0,0,0,0,0
2,Movie 2 (2024),Action|Sci-Fi|Drama,81000000,99,1994,0,7.6,436,3550000,1,1,0,0,0,0,0,0,1,0,0,1,0
3,Movie 3 (2024),Documentary,146000000,173,2004,0,5.6,325,4200000,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Movie 4 (2024),Thriller|Crime,124000000,80,2011,0,6.8,452,4150000,0,0,0,0,0,0,1,0,0,0,0,0,1
5,Movie 5 (2024),Horror|Sci-Fi,146000000,148,2010,0,2.2,192,4990000,0,0,0,0,0,0,0,0,0,0,1,1,0
6,Movie 6 (2024),Sci-Fi,173000000,121,2008,0,9.8,98,2610000,1,0,0,0,0,0,0,0,0,0,0,1,0
7,Movie 7 (2024),Action|Animation|Thriller,35000000,107,2007,1,2.6,35,4820000,1,1,0,1,0,0,0,0,0,0,0,0,1
8,Movie 8 (2024),Fantasy,104000000,149,1990,0,8.8,11,930000,1,0,0,0,0,0,0,0,0,1,0,0,0
9,Movie 9 (2024),Drama,99000000,103,2004,0,7.2,425,730000,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Movie 10 (2024),Sci-Fi|Documentary|Action,99000000,171,2001,0,5.6,305,1940000,1,1,0,0,0,0,0,1,0,0,0,1,0
11,Movie 11 (2024),Sci-Fi,120000000,135,2015,0,9.5,15,3040000,1,0,0,0,0,0,0,0,0,0,0,1,0
12,Movie 12 (2024),Comedy|Animation,139000000,134,1996,0,9.4,61,1570000,0,0,0,1,0,1,0,0,0,0,0,0,0
13,Movie 13 (2024),Action|Comedy|Documentary,98000000,94,2003,0,7.7,99,4840000,0,1,0,0,0,1,0,1,0,0,0,0,0
14,Movie 14 (2024),Adventure|Horror|Drama,130000000,154,2017,0,6.1,15,2210000,0,0,1,0,0,0,0,0,1,0,1,0,0
15,Movie 15 (2024),Crime|Drama|Thriller,10000000,151,1990,0,3.2,229,4530000,1,0,0,0,0,0,1,0,1,0,0,0,1
16,Movie 16 (2024),Children|Animation|Drama,137000000,179,2008,0,4.5,222,1860000,1,0,0,1,1,0,0,0,1,0,0,0,0
17,Movie 17 (2024),Adventure|Children,116000000,158,2018,0,5.0,23,1600000,1,0,1,0,1,0,0,0,0,0,0,0,0
18,Movie 18 (2024),Animation,7000000,136,2014,1,7.6,340,2110000,1,0,0,1,0,0,0,0,0,0,0,0,0
19,Movie 19 (2024),Drama|Fantasy|Animation,172000000,98,2000,1,5.3,452,3730000,0,0,0,1,0,0,0,0,1,1,0,0,0
20,Movie 20 (2024),Animation,11000000,168,2005,0,6.3,353,4390000,1,0,0,1,0,0,0,0,0,0,0,0,0
21,Movie 21 (2024),Documentary,11000000,161,2000,0,8.5,446,2510000,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Movie 22 (2024),Crime|Animation|Documentary,1000000,114,1994,1,6.0,339,900000,0,0,0,1,0,0,1,1,0,0,0,0,0
23,Movie 23 (2024),Crime|Fantasy|Documentary,188000000,131,1990,0,4.4,407,3040000,0,0,0,0,0,0,1,1,0,1,0,0,0
24,Movie 24 (2024),Action|Horror,49000000,82,1992,0,5.8,285,3960000,1,1,0,0,0,0,0,0,0,0,1,0,0
25,Movie 25 (2024),Horror,98000000,155,2023,0,7.0,224,3360000,1,0,0,0,0,0,0,0,0,0,1,0,0
26,Movie 26 (2024),Fantasy|Horror|Drama,126000000,109,2014,0,8.5,288,4850000,0,0,0,0,0,0,0,0,1,1,1,0,0
27,Movie 27 (2024),Documentary|Sci-Fi,70000000,113,2000,0,6.4,372,960000,1,0,0,0,0,0,0,1,0,0,0,1,0
28,Movie 28 (2024),Animation|Thriller,30000000,176,1999,0,3.3,51,2540000,1,0,0,1,0,0,0,0,0,0,0,0,1
29,Movie 29 (2024),Adventure,116000000,118,1997,0,3.7,393,3950000,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Movie 30 (2024),Comedy|Sci-Fi|Crime,171000000,148,2022,1,2.2,480,4500000,0,0,0,0,0,1,1,0,0,0,0,1,0
31,Movie 31 (2024),Animation,188000000,157,2016,0,3.1,167,4950000,1,0,0,1,0,0,0,0,0,0,0,0,0
32,Movie 32 (2024),Adventure|Horror|Fantasy,182000000,128,1998,0,7.7,1,760000,1,0,1,0,0,0,0,0,0,1,1,0,0
33,Movie 33 (2024),Adventure|Sci-Fi,27000000,142,2023,0,5.4,297,1060000,0,0,1,0,0,0,0,0,0,0,0,1,0
34,Movie 34 (2024),Crime,133000000,140,2000,1,2.5,374,2190000,1,0,0,0,0,0,1,0,0,0,0,0,0
35,Movie 35 (2024),Crime,115000000,105,2019,1,9.7,207,640000,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Movie 36 (2024),Crime,61000000,117,2014,0,3.8,308,4830000,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Movie 37 (2024),Thriller,138000000,178,2020,0,4.4,148,1210000,1,0,0,0,0,0,0,0,0,0,0,0,1
38,Movie 38 (2024),Children,80000000,106,1991,0,5.7,359,2370000,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Movie 39 (2024),Fantasy|Thriller|Crime,166000000,92,1997,0,6.4,203,570000,1,0,0,0,0,0,1,0,0,1,0,0,1
40,Movie 40 (2024),Sci-Fi|Adventure|Fantasy,190000000,178,2002,0,2.2,310,2190000,0,0,1,0,0,0,0,0,0,1,0,1,0
41,Movie 41 (2024),Comedy|Sci-Fi,134000000,134,1994,0,9.3,243,2200000,1,0,0,0,0,1,0,0,0,0,0,1,0
42,Movie 42 (2024),Comedy|Action,89000000,127,1999,0,2.1,468,2350000,1,1,0,0,0,1,0,0,0,0,0,0,0
43,Movie 43 (2024),Fantasy|Crime|Sci-Fi,34000000,136,2020,0,7.5,36,1020000,1,0,0,0,0,0,1,0,0,1,0,1,0
44,Movie 44 (2024),Horror,160000000,120,2002,0,5.1,28,4780000,1,0,0,0,0,0,0,0,0,0,1,0,0
45,Movie 45 (2024),Adventure|Children|Thriller,196000000,177,2007,0,8.3,322,2410000,0,0,1,0,1,0,0,0,0,0,0,0,1
46,Movie 46 (2024),Crime,8000000,179,1993,0,3.0,445,1640000,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Movie 47 (2024),Thriller,63000000,126,1995,1,3.0,292,1530000,1,0,0,0,0,0,0,0,0,0,0,0,1
48,Movie 48 (2024),Comedy|Fantasy|Drama,108000000,127,2006,1,6.1,493,2570000,0,0,0,0,0,1,0,0,1,1,0,0,0
